  List size (in bytes) for each relation (table, index, etc.)

    schema_name     | segment_type | tablespace_name |                  segment_name                  | segment_size_bytes 
 pg_catalog         | r            |                 | pg_collation                                   |             303104
 pg_catalog         | r            |                 | pg_constraint                                  |              65536
 pg_catalog         | r            |                 | pg_conversion                                  |              49152
 pg_catalog         | r            |                 | pg_default_acl                                 |               8192
 pg_catalog         | r            |                 | pg_depend                                      |             163840
 pg_catalog         | r            |                 | pg_description                                 |             409600
 pg_catalog         | r            |                 | pg_enum                                        |                  0
 pg_catalog         | r            |                 | pg_event_trigger                               |               8192
 pg_catalog         | r            |                 | pg_extension                                   |              49152
 pg_catalog         | r            |                 | pg_foreign_data_wrapper                        |               8192
 pg_catalog         | r            |                 | pg_foreign_server                              |               8192
 pg_catalog         | r            |                 | pg_foreign_table                               |               8192
 pg_catalog         | r            |                 | pg_index                                       |              73728
 pg_catalog         | r            |                 | pg_inherits                                    |                  0
 pg_catalog         | r            |                 | pg_init_privs                                  |              65536
 pg_catalog         | r            |                 | pg_language                                    |              49152
 pg_catalog         | r            |                 | pg_largeobject                                 |                  0
 pg_catalog         | r            |                 | pg_largeobject_metadata                        |                  0
 pg_catalog         | r            |                 | pg_namespace                                   |              49152
 pg_catalog         | r            |                 | pg_opclass                                     |              57344
 pg_catalog         | r            |                 | pg_operator                                    |             147456
 pg_catalog         | r            |                 | pg_opfamily                                    |              49152
 pg_catalog         | r            |                 | pg_partitioned_table                           |               8192
 pg_catalog         | r            |                 | pg_policy                                      |              16384
 pg_catalog         | r            |                 | pg_proc                                        |             950272
 pg_catalog         | r            |                 | pg_publication                                 |                  0
 pg_catalog         | r            |                 | pg_publication_namespace                       |                  0
 pg_catalog         | r            |                 | pg_publication_rel                             |               8192
 pg_catalog         | r            |                 | pg_range                                       |              40960
 pg_catalog         | r            |                 | pg_rewrite                                     |             737280
 pg_catalog         | r            |                 | pg_seclabel                                    |               8192
 pg_catalog         | r            |                 | pg_sequence                                    |               8192
 pg_catalog         | r            |                 | pg_statistic                                   |             548864
 pg_catalog         | r            |                 | pg_statistic_ext                               |               8192
 pg_catalog         | r            |                 | pg_statistic_ext_data                          |               8192
 pg_catalog         | r            |                 | pg_subscription_rel                            |                  0
 pg_catalog         | r            |                 | pg_transform                                   |                  0
 pg_catalog         | r            |                 | pg_trigger                                     |              16384
 pg_catalog         | r            |                 | pg_ts_config                                   |              40960
 pg_catalog         | r            |                 | pg_ts_config_map                               |              57344
 pg_catalog         | r            |                 | pg_ts_dict                                     |              49152
 pg_catalog         | r            |                 | pg_ts_parser                                   |              40960
 pg_catalog         | r            |                 | pg_ts_template                                 |              40960
 pg_catalog         | r            |                 | pg_type                                        |             172032
 pg_catalog         | r            |                 | pg_user_mapping                                |               8192
 public             | r            |                 | pgbench_accounts                               |          140124160
 public             | r            |                 | pgbench_branches                               |              98304
 public             | r            |                 | pgbench_history                                |           87121920
 public             | r            |                 | pgbench_tellers                                |             385024
 information_schema | r            |                 | sql_features                                   |             106496
 information_schema | r            |                 | sql_implementation_info                        |              49152
 information_schema | r            |                 | sql_parts                                      |              49152
 information_schema | r            |                 | sql_sizing                                     |              49152
 pg_toast           | t            |                 | pg_toast_1247                                  |                  0
 pg_toast           | t            |                 | pg_toast_1255                                  |              65536
 pg_toast           | t            |                 | pg_toast_1417                                  |                  0
 pg_toast           | t            |                 | pg_toast_1418                                  |                  0
 pg_toast           | t            |                 | pg_toast_14376                                 |                  0
 pg_toast           | t            |                 | pg_toast_14381                                 |                  0
 pg_toast           | t            |                 | pg_toast_14386                                 |                  0
 pg_toast           | t            |                 | pg_toast_14391                                 |                  0
 pg_toast           | t            |                 | pg_toast_16651                                 |                  0
 pg_toast           | t            |                 | pg_toast_16670                                 |                  0
 pg_toast           | t            |                 | pg_toast_16697                                 |                  0
 pg_toast           | t            |                 | pg_toast_16703                                 |            1884160
 pg_toast           | t            |                 | pg_toast_16708                                 |                  0
 pg_toast           | t            |                 | pg_toast_2328                                  |                  0
 pg_toast           | t            |                 | pg_toast_2600                                  |                  0
 pg_toast           | t            |                 | pg_toast_2604                                  |                  0
 pg_toast           | t            |                 | pg_toast_2606                                  |                  0
 pg_toast           | t            |                 | pg_toast_2609                                  |                  0
 pg_toast           | t            |                 | pg_toast_2612                                  |                  0
 pg_toast           | t            |                 | pg_toast_2615                                  |                  0
 pg_toast           | t            |                 | pg_toast_2618                                  |             573440
 pg_toast           | t            |                 | pg_toast_2619                                  |             172032
 pg_toast           | t            |                 | pg_toast_2620                                  |                  0
 pg_toast           | t            |                 | pg_toast_3079                                  |                  0
