  SCRIPT: ORA_M01_object_storage_analysis

  STATS: show how all the segments are managed in each tablespace as message

 schema_name | segment_type |                  segment_name                  | num_rows | storage_options 
 pg_catalog  | INDEX        | pg_type_typname_nsp_index                      |      645 | 
 pg_catalog  | INDEX        | pg_user_mapping_oid_index                      |        0 | 
 pg_catalog  | INDEX        | pg_user_mapping_user_server_index              |        0 | 
 pg_catalog  | TABLE        | pg_aggregate                                   |      157 | 
 pg_catalog  | TABLE        | pg_am                                          |        7 | 
 pg_catalog  | TABLE        | pg_amop                                        |      945 | 
 pg_catalog  | TABLE        | pg_amproc                                      |      696 | 
 pg_catalog  | TABLE        | pg_attrdef                                     |        0 | 
 pg_catalog  | TABLE        | pg_attribute                                   |     3047 | 
 pg_catalog  | TABLE        | pg_auth_members                                |        3 | 
 pg_catalog  | TABLE        | pg_authid                                      |       15 | 
 pg_catalog  | TABLE        | pg_cast                                        |      229 | 
 pg_catalog  | TABLE        | pg_class                                       |      446 | 
 pg_catalog  | TABLE        | pg_collation                                   |     1794 | 
 pg_catalog  | TABLE        | pg_constraint                                  |      112 | 
 pg_catalog  | TABLE        | pg_conversion                                  |      128 | 
 pg_catalog  | TABLE        | pg_database                                    |        2 | 
 pg_catalog  | TABLE        | pg_db_role_setting                             |        0 | 
 pg_catalog  | TABLE        | pg_default_acl                                 |        0 | 
 pg_catalog  | TABLE        | pg_depend                                      |     1867 | 
 pg_catalog  | TABLE        | pg_description                                 |     5170 | 
 pg_catalog  | TABLE        | pg_enum                                        |        0 | 
 pg_catalog  | TABLE        | pg_event_trigger                               |        0 | 
 pg_catalog  | TABLE        | pg_extension                                   |        1 | 
 pg_catalog  | TABLE        | pg_foreign_data_wrapper                        |        0 | 
 pg_catalog  | TABLE        | pg_foreign_server                              |        0 | 
 pg_catalog  | TABLE        | pg_foreign_table                               |        0 | 
 pg_catalog  | TABLE        | pg_index                                       |      172 | 
 pg_catalog  | TABLE        | pg_inherits                                    |        0 | 
 pg_catalog  | TABLE        | pg_init_privs                                  |      220 | 
 pg_catalog  | TABLE        | pg_language                                    |        4 | 
 pg_catalog  | TABLE        | pg_largeobject                                 |        0 | 
 pg_catalog  | TABLE        | pg_largeobject_metadata                        |        0 | 
 pg_catalog  | TABLE        | pg_namespace                                   |        4 | 
 pg_catalog  | TABLE        | pg_opclass                                     |      177 | 
 pg_catalog  | TABLE        | pg_operator                                    |      799 | 
 pg_catalog  | TABLE        | pg_opfamily                                    |      146 | 
 pg_catalog  | TABLE        | pg_parameter_acl                               |        0 | 
